iter	MAE	RMSE
0	4.665499505	5.859665763
1	4.554725279	5.738005485
2	4.540511925	5.711621398
3	4.431300008	5.58004808
4	4.333514047	5.461421294
5	4.224306579	5.347592254
6	4.183620054	5.297567937
7	4.108641273	5.210294442
8	4.059325665	5.156085162
9	3.950792184	5.03613121
10	3.826517257	4.875616104
11	3.818641669	4.866646398
12	3.774400031	4.800235054
13	3.700794815	4.693149892
14	3.656449247	4.632225795
15	3.591987355	4.542444245
16	3.525196547	4.477983757
17	3.492562171	4.430206995
18	3.429662256	4.345333069
19	3.348943838	4.232190081
20	3.299313228	4.167069167
21	3.236864004	4.090657132
22	3.176837208	4.018540189
23	3.125649502	3.950602855
24	3.077900531	3.889006505
25	3.031125086	3.824975742
26	2.981303846	3.758004701
27	2.940954522	3.694026554
28	2.892505267	3.63538547
29	2.830555484	3.572373939
30	2.762406771	3.476864883
31	2.699148987	3.388974854
32	2.649280842	3.328532902
33	2.566627582	3.235046036
34	2.541674613	3.201759443
35	2.484553097	3.137382558
36	2.421224317	3.063266333
37	2.389642841	3.012366635
38	2.332975968	2.946109301
39	2.278293313	2.88420126
40	2.223462704	2.817515789
41	2.184670721	2.770825486
42	2.16848146	2.749870681
43	2.151541012	2.723689209
44	2.109539559	2.666748902
45	2.080949521	2.633555976
46	2.034907184	2.57121075
47	2.019227977	2.549351592
48	1.990383824	2.511374638
49	1.952186803	2.461928451
50	1.904629339	2.404008303
51	1.871716602	2.351347292
52	1.805029531	2.268161474
53	1.78544628	2.239068434
54	1.764231887	2.205913816
55	1.70880353	2.138017275
56	1.687463215	2.106813968
57	1.666354889	2.070975334
58	1.649038061	2.050990269
59	1.609904923	1.997314544
60	1.561932194	1.929606465
61	1.552703604	1.918553896
62	1.535062339	1.896665639
63	1.513212445	1.867569416
64	1.505126789	1.855093619
65	1.472591129	1.813331536
66	1.416193468	1.744071199
67	1.382710225	1.698866635
68	1.343009764	1.649153084
69	1.290770135	1.584371347
70	1.243206814	1.5223971
71	1.206920239	1.472777699
72	1.181699138	1.438338066
73	1.142974947	1.389041253
74	1.105931397	1.341530957
75	1.068263375	1.295021552
76	1.046645434	1.265320987
77	1.042860517	1.260852158
78	1.030423792	1.244855674
79	1.006346996	1.213193768
80	0.9757764291	1.175436195
81	0.9540116352	1.148818635
82	0.9246581602	1.11566847
83	0.8964237883	1.07817085
84	0.8640768393	1.037194671
85	0.8426466616	1.009556308
86	0.8401309323	1.006219828
87	0.8155967693	0.9757489254
88	0.7920171259	0.9483840516
89	0.7894972867	0.9449730167
90	0.7664494898	0.9181009766
91	0.7627053718	0.9139611032
92	0.7389795236	0.884969157
93	0.7248203305	0.86697514
94	0.6941133983	0.8318152285
95	0.6766309582	0.8092158869
96	0.663095974	0.789524489
97	0.6385975828	0.760587584
98	0.6149000803	0.7326044005
99	0.5992647276	0.7121732103
100	0.5827247089	0.6946195335
101	0.566530322	0.6731291814
102	0.5455890582	0.6476400923
103	0.5372283812	0.637375718
104	0.5206238977	0.6159129188
105	0.5155460065	0.6089744308
106	0.4971407867	0.587572077
107	0.4920051465	0.5819015969
108	0.4846621475	0.5733544405
109	0.4688859894	0.5521443356
110	0.4559511844	0.5364246926
111	0.439814802	0.5164549855
112	0.4270111666	0.5006770595
113	0.4150093653	0.4869177892
114	0.4042168075	0.4741167147
115	0.3903748073	0.4578668675
116	0.381104038	0.4469565828
117	0.3727965517	0.4361324562
118	0.36412966	0.4257036125
119	0.3530210715	0.4122799443
120	0.3443375685	0.4017820471
121	0.3345998532	0.3913717829
122	0.3309748479	0.3873425763
123	0.3194736108	0.374184617
124	0.3096963782	0.362805947
125	0.2972828805	0.3490019624
126	0.2845768738	0.3350493243
127	0.2787877553	0.3280846034
128	0.2711740047	0.3192061093
129	0.263970593	0.3104670629
130	0.2574057644	0.3038142512
131	0.2478151852	0.292012081
132	0.2371702386	0.2795651477
133	0.229914937	0.2706441651
134	0.2232209323	0.261587307
135	0.2196551806	0.2571611999
136	0.2137268935	0.2501320129
137	0.2099108352	0.246046524
138	0.2064823817	0.2422979937
139	0.1991881871	0.2338873932
140	0.1959289666	0.2298543206
141	0.1930019837	0.2264793951
142	0.1863646139	0.2185680484
143	0.1808504444	0.2117328392
144	0.1764851343	0.2067291762
145	0.1721618101	0.2011616473
146	0.1670616274	0.1948755751
147	0.1623545834	0.1903458374
148	0.1568188387	0.1840665729
149	0.1547899884	0.181853257
150	0.1496079662	0.1757632438
151	0.1470113442	0.1732988996
152	0.1431255113	0.1685982069
153	0.1382753127	0.1631358646
154	0.1340578372	0.1583692996
155	0.1301041092	0.1533413048
156	0.1288478864	0.1518036184
157	0.1248087297	0.146952311
158	0.1202946923	0.1421216828
159	0.1159597593	0.1371378632
160	0.1127800558	0.133780212
161	0.1086523314	0.1288200877
162	0.1065794951	0.1264980656
163	0.1046787079	0.124914844
164	0.1009012789	0.1201884822
165	0.09702114987	0.1154902123
166	0.09400397655	0.1117657826
167	0.09212367136	0.109289152
168	0.08947924165	0.1061185015
169	0.08712031642	0.1031944417
170	0.08508677459	0.1010378551
171	0.08373451469	0.09962661719
172	0.08184530078	0.09724083242
173	0.07948337473	0.09441300138
174	0.07927939704	0.09409857002
175	0.07687250007	0.09122110503
176	0.07419519719	0.08794833678
177	0.07178458479	0.0850512331
178	0.07135053734	0.08432537062
179	0.06983479587	0.0821075268
180	0.06674769517	0.07860370735
181	0.06601710146	0.07771955324
182	0.06403393784	0.07526804681
183	0.06327623074	0.07448398195
184	0.06167990128	0.07248615089
185	0.0602020842	0.0705391016
186	0.05859640731	0.06840304723
187	0.05626548612	0.06567877895
188	0.05514452725	0.06439327472
189	0.05334379716	0.06220905655
190	0.05272605403	0.06145201968
191	0.05076759508	0.059298485
192	0.04971668016	0.05792604684
193	0.0486949783	0.05661114387
194	0.04749961012	0.0554095192
195	0.04561515961	0.05314964668
196	0.04544815738	0.05296123797
197	0.04410681681	0.05137323762
198	0.0426564299	0.04955201531
199	0.04168254459	0.0484313803
200	0.04069833334	0.04727540309
201	0.03987091481	0.04624469979
202	0.03940883588	0.04577886047
203	0.03861750553	0.04475549188
204	0.03726387779	0.04321182009
205	0.03640753178	0.04206489964
206	0.03516746646	0.04062976742
207	0.03437981562	0.03971311269
208	0.03331565705	0.03845786151
209	0.03265770616	0.03772778647
210	0.03195757518	0.03691732859
211	0.03127074332	0.03603339857
212	0.03017857885	0.03477789568
213	0.02961101873	0.0341295772
214	0.02860558161	0.03317918964
215	0.02765146148	0.03207762747
216	0.02703706328	0.03134277994
217	0.02650599086	0.0306454262
218	0.02565132385	0.02964552903
219	0.02482231762	0.02866599316
220	0.0240484867	0.02773615841
