iter	Passed	Remaining
0	5	5861
1	10	5394
2	11	3975
3	16	4229
4	21	4296
5	27	4475
6	27	3963
7	33	4113
8	37	4159
9	43	4266
10	48	4358
11	48	4032
12	54	4117
13	59	4195
14	64	4258
15	69	4273
16	74	4302
17	77	4208
18	81	4232
19	87	4305
20	92	4325
21	97	4341
22	103	4415
23	109	4467
24	116	4529
25	121	4542
26	126	4543
27	131	4560
28	136	4569
29	141	4582
30	146	4577
31	151	4582
32	156	4593
33	161	4601
34	167	4619
35	172	4620
36	177	4629
37	182	4620
38	187	4613
39	192	4608
40	196	4600
41	202	4609
42	203	4520
43	208	4527
44	214	4545
45	218	4541
46	225	4564
47	230	4563
48	235	4574
49	240	4574
50	245	4573
51	250	4574
52	255	4573
53	261	4575
54	266	4573
55	271	4571
56	275	4556
57	280	4555
58	285	4559
59	291	4561
60	296	4565
61	301	4567
62	307	4572
63	312	4577
64	318	4577
65	323	4581
66	328	4579
67	334	4580
68	339	4580
69	344	4581
70	350	4587
71	355	4584
72	361	4596
73	367	4594
74	372	4592
75	377	4590
76	381	4578
77	386	4573
78	392	4571
79	397	4571
80	402	4562
81	407	4563
82	412	4559
83	417	4552
84	423	4555
85	429	4564
86	434	4559
87	440	4562
88	446	4565
89	448	4538
90	455	4547
91	460	4542
92	465	4542
93	470	4538
94	476	4538
95	481	4534
96	487	4534
97	492	4535
98	498	4533
99	503	4532
100	508	4525
101	513	4518
102	519	4520
103	522	4502
104	527	4496
105	532	4492
106	538	4492
107	543	4488
108	549	4490
109	554	4489
110	559	4484
111	564	4478
112	570	4475
113	575	4473
114	581	4475
115	586	4470
116	591	4465
117	597	4462
118	602	4460
119	607	4456
120	613	4455
121	618	4447
122	623	4442
123	627	4435
124	633	4431
125	638	4425
126	643	4424
127	649	4421
128	654	4418
129	659	4416
130	665	4413
131	670	4411
132	675	4406
133	680	4400
134	685	4395
135	691	4392
136	696	4384
137	700	4378
138	705	4372
139	711	4368
140	715	4361
141	721	4357
142	726	4352
143	731	4350
144	737	4346
145	741	4339
146	746	4334
147	751	4325
148	756	4319
149	760	4311
150	766	4308
151	772	4308
152	777	4306
153	783	4303
154	788	4298
155	793	4294
156	798	4289
157	803	4284
158	809	4281
159	814	4277
160	819	4273
161	824	4265
162	829	4257
163	834	4254
164	840	4252
165	845	4247
166	850	4242
167	855	4237
168	860	4233
169	866	4229
170	871	4224
171	876	4219
172	882	4217
173	887	4211
174	893	4210
175	898	4207
176	903	4203
177	909	4198
178	910	4178
179	916	4174
180	921	4167
181	925	4160
182	930	4155
183	933	4140
184	938	4134
185	943	4131
186	949	4126
187	954	4122
188	959	4117
189	965	4114
190	966	4095
191	971	4088
192	976	4083
193	981	4079
194	987	4075
195	991	4068
196	997	4065
197	1003	4064
198	1010	4065
199	1016	4064
200	1022	4062
201	1027	4057
202	1033	4057
203	1039	4054
204	1044	4050
205	1049	4045
206	1054	4040
207	1060	4036
208	1065	4031
209	1067	4014
210	1072	4011
211	1078	4007
212	1083	4004
213	1089	4000
214	1094	3995
215	1100	3993
216	1105	3989
217	1110	3984
218	1116	3981
219	1121	3977
220	1127	3974
